name total correct accuracy error macro_f1
oxford_pets/16shots/3run/16prompts/seed3 3669 3277 89,3 10,7 89,1
oxford_pets/16shots/3run/32prompts/seed1     
oxford_pets/16shots/3run/32prompts/seed2     
oxford_pets/16shots/3run/32prompts/seed3     
oxford_pets/16shots/4run/1prompts/seed1 3669 3245 88,4 11,6 88,4
oxford_pets/16shots/4run/1prompts/seed2 3669 3242 88,4 11,6 88,3
oxford_pets/16shots/4run/1prompts/seed3 3669 3233 88,1 11,9 88,0
oxford_pets/16shots/4run/2prompts/seed1 3669 3258 88,8 11,2 88,6
oxford_pets/16shots/4run/2prompts/seed2 3669 3205 87,4 12,6 87,2
oxford_pets/16shots/4run/2prompts/seed3 3669 3244 88,4 11,6 88,3
oxford_pets/16shots/4run/4prompts/seed1 3669 3242 88,4 11,6 88,1
oxford_pets/16shots/4run/4prompts/seed2 3669 3255 88,7 11,3 88,6
oxford_pets/16shots/4run/4prompts/seed3 3669 3254 88,7 11,3 88,6
oxford_pets/16shots/4run/8prompts/seed1 3669 3252 88,6 11,4 88,4
oxford_pets/16shots/4run/8prompts/seed2 3669 3255 88,7 11,3 88,6
oxford_pets/16shots/4run/8prompts/seed3 3669 3265 89,0 11,0 88,8
oxford_pets/16shots/4run/16prompts/seed1 3669 3273 89,2 10,8 88,9
oxford_pets/16shots/4run/16prompts/seed2 3669 3273 89,2 10,8 89,0
oxford_pets/16shots/4run/16prompts/seed3 3669 3277 89,3 10,7 89,1
oxford_pets/16shots/4run/32prompts/seed1     
oxford_pets/16shots/4run/32prompts/seed2     
oxford_pets/16shots/4run/32prompts/seed3     
oxford_pets/16shots/5run/1prompts/seed1 3669 3245 88,4 11,6 88,4
oxford_pets/16shots/5run/1prompts/seed2 3669 3251 88,6 11,4 88,6
oxford_pets/16shots/5run/1prompts/seed3 3669 3247 88,5 11,5 88,4
oxford_pets/16shots/5run/2prompts/seed1 3669 3239 88,3 11,7 88,1
oxford_pets/16shots/5run/2prompts/seed2 3669 3213 87,6 12,4 87,4
oxford_pets/16shots/5run/2prompts/seed3 3669 3238 88,3 11,7 88,1
oxford_pets/16shots/5run/4prompts/seed1 3669 3252 88,6 11,4 88,4
oxford_pets/16shots/5run/4prompts/seed2 3669 3255 88,7 11,3 88,6
oxford_pets/16shots/5run/4prompts/seed3 3669 3254 88,7 11,3 88,6
oxford_pets/16shots/5run/8prompts/seed1 3669 3252 88,6 11,4 88,4
oxford_pets/16shots/5run/8prompts/seed2 3669 3251 88,6 11,4 88,5
oxford_pets/16shots/5run/8prompts/seed3 3669 3267 89,0 11,0 88,9
oxford_pets/16shots/5run/16prompts/seed1 3669 3273 89,2 10,8 88,9
oxford_pets/16shots/5run/16prompts/seed2 3669 3270 89,1 10,9 88,9
oxford_pets/16shots/5run/16prompts/seed3 3669 3272 89,2 10,8 88,9
oxford_pets/16shots/5run/32prompts/seed1     
oxford_pets/16shots/5run/32prompts/seed2     
oxford_pets/16shots/5run/32prompts/seed3     
