name total correct accuracy error macro_f1
eurosat/1shots/1ctx/16prompts/seed3 8100 3663 45.2 54.8 41.7
eurosat/1shots/2ctx/8prompts/seed1 8100 4748 58.6 41.4 57.8
eurosat/1shots/2ctx/8prompts/seed2 8100 3857 47.6 52.4 45.5
eurosat/1shots/2ctx/8prompts/seed3 8100 4512 55.7 44.3 53.5
eurosat/1shots/4ctx/4prompts/seed1 8100 4664 57.6 42.4 55.8
eurosat/1shots/4ctx/4prompts/seed2 8100 3641 45.0 55.0 42.9
eurosat/1shots/4ctx/4prompts/seed3 8100 4602 56.8 43.2 54.2
eurosat/1shots/8ctx/2prompts/seed1 8100 4539 56.0 44.0 52.5
eurosat/1shots/8ctx/2prompts/seed2 8100 3646 45.0 55.0 41.2
eurosat/1shots/8ctx/2prompts/seed3 8100 4706 58.1 41.9 56.5
eurosat/1shots/16ctx/1prompts/seed1 8100 4142 51.1 48.9 49.8
eurosat/1shots/16ctx/1prompts/seed2 8100 3749 46.3 53.7 44.2
eurosat/1shots/16ctx/1prompts/seed3 8100 4485 55.4 44.6 54.0
eurosat/2shots/1ctx/16prompts/seed1 8100 3359 41.5 58.5 37.0
eurosat/2shots/1ctx/16prompts/seed2 8100 3410 42.1 57.9 37.8
eurosat/2shots/1ctx/16prompts/seed3 8100 3847 47.5 52.5 44.3
eurosat/2shots/2ctx/8prompts/seed1 8100 4125 50.9 49.1 49.2
eurosat/2shots/2ctx/8prompts/seed2 8100 4556 56.2 43.8 54.2
eurosat/2shots/2ctx/8prompts/seed3 8100 4653 57.4 42.6 57.0
eurosat/2shots/4ctx/4prompts/seed1 8100 4544 56.1 43.9 55.0
eurosat/2shots/4ctx/4prompts/seed2 8100 5164 63.8 36.2 61.2
eurosat/2shots/4ctx/4prompts/seed3 8100 4872 60.1 39.9 59.9
eurosat/2shots/8ctx/2prompts/seed1 8100 4663 57.6 42.4 57.6
eurosat/2shots/8ctx/2prompts/seed2 8100 4833 59.7 40.3 56.7
eurosat/2shots/8ctx/2prompts/seed3 8100 5455 67.3 32.7 66.5
eurosat/2shots/16ctx/1prompts/seed1 8100 4704 58.1 41.9 57.7
eurosat/2shots/16ctx/1prompts/seed2 8100 4174 51.5 48.5 48.3
eurosat/2shots/16ctx/1prompts/seed3 8100 4392 54.2 45.8 55.2
eurosat/4shots/1ctx/16prompts/seed1 8100 3643 45.0 55.0 41.4
eurosat/4shots/1ctx/16prompts/seed2 8100 3699 45.7 54.3 42.6
eurosat/4shots/1ctx/16prompts/seed3 8100 3377 41.7 58.3 40.3
eurosat/4shots/2ctx/8prompts/seed1 8100 5117 63.2 36.8 62.1
eurosat/4shots/2ctx/8prompts/seed2 8100 4827 59.6 40.4 57.6
eurosat/4shots/2ctx/8prompts/seed3 8100 4860 60.0 40.0 57.7
eurosat/4shots/4ctx/4prompts/seed1 8100 5581 68.9 31.1 67.7
eurosat/4shots/4ctx/4prompts/seed2 8100 5071 62.6 37.4 60.8
eurosat/4shots/4ctx/4prompts/seed3 8100 5557 68.6 31.4 67.1
eurosat/4shots/8ctx/2prompts/seed1 8100 5312 65.6 34.4 64.5
eurosat/4shots/8ctx/2prompts/seed2 8100 5182 64.0 36.0 60.6
eurosat/4shots/8ctx/2prompts/seed3 8100 5178 63.9 36.1 62.1
eurosat/4shots/16ctx/1prompts/seed1 8100 5432 67.1 32.9 66.4
eurosat/4shots/16ctx/1prompts/seed2 8100 5115 63.1 36.9 60.2
eurosat/4shots/16ctx/1prompts/seed3 8100 5403 66.7 33.3 65.1
eurosat/8shots/1ctx/16prompts/seed1 8100 4702 58.0 42.0 57.1
eurosat/8shots/1ctx/16prompts/seed2 8100 4858 60.0 40.0 58.4
eurosat/8shots/1ctx/16prompts/seed3 8100 5305 65.5 34.5 64.6
eurosat/8shots/2ctx/8prompts/seed1 8100 5711 70.5 29.5 69.8
eurosat/8shots/2ctx/8prompts/seed2 8100 5398 66.6 33.4 65.7
eurosat/8shots/2ctx/8prompts/seed3 8100 6221 76.8 23.2 76.2
eurosat/8shots/4ctx/4prompts/seed1 8100 6003 74.1 25.9 73.3
eurosat/8shots/4ctx/4prompts/seed2 8100 5671 70.0 30.0 69.5
eurosat/8shots/4ctx/4prompts/seed3 8100 6251 77.2 22.8 76.5
eurosat/8shots/8ctx/2prompts/seed1 8100 5896 72.8 27.2 72.2
eurosat/8shots/8ctx/2prompts/seed2 8100 5725 70.7 29.3 70.2
eurosat/8shots/8ctx/2prompts/seed3 8100 6244 77.1 22.9 76.5
eurosat/8shots/16ctx/1prompts/seed1 8100 5316 65.6 34.4 65.4
eurosat/8shots/16ctx/1prompts/seed2 8100 5542 68.4 31.6 67.6
eurosat/8shots/16ctx/1prompts/seed3 8100 5811 71.7 28.3 70.9
eurosat/16shots/1ctx/16prompts/seed1 8100 6323 78.1 21.9 77.1
eurosat/16shots/1ctx/16prompts/seed2 8100 6372 78.7 21.3 78.0
eurosat/16shots/1ctx/16prompts/seed3 8100 6321 78.0 22.0 77.4
eurosat/16shots/2ctx/8prompts/seed1 8100 6558 81.0 19.0 80.2
eurosat/16shots/2ctx/8prompts/seed2 8100 6542 80.8 19.2 80.0
eurosat/16shots/2ctx/8prompts/seed3 8100 6663 82.3 17.7 81.6
eurosat/16shots/4ctx/4prompts/seed1 8100 6522 80.5 19.5 79.8
eurosat/16shots/4ctx/4prompts/seed2 8100 6647 82.1 17.9 81.1
eurosat/16shots/4ctx/4prompts/seed3 8100 6637 81.9 18.1 81.3
eurosat/16shots/8ctx/2prompts/seed1 8100 6655 82.2 17.8 81.4
